Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-01-02,76984.2109375,77177.63860317212,75630.21727779522,75630.21727779522,17142847
2024-01-03,74469.65625,76210.50535714286,74469.65625,75920.36383928571,21753644
2024-01-04,74082.796875,74759.79371328329,73599.22770479765,73599.22770479765,15324439
2024-01-05,74082.796875,74566.36604520235,73889.36920691906,74179.51070904046,11304316
2024-01-08,73986.09375,74953.23223039215,73889.37990196078,74469.66299019608,11088724
2024-01-09,72245.25,75146.6656626506,71858.39457831325,74856.52409638555,26019249
2024-01-10,71181.390625,72728.8121603261,70794.53524116849,72535.38446841032,20259529
2024-01-11,70794.5234375,71181.3787568306,70310.95428833675,70504.38194800205,57691266
2024-01-12,70697.8125,71664.9508378933,70407.670998632,70601.09866621067,13038939
2024-01-15,71471.53125,71568.2450947226,70794.53433694181,70794.53433694181,2957915
2024-01-16,70214.2421875,71278.09434185606,70117.52835528582,71084.66667742768,14760415
2024-01-17,68666.8203125,70891.2384352993,68666.8203125,70697.81077244719,22683660
2024-01-18,69343.828125,69633.96966527197,68376.68965742677,69247.11427824268,17853397
2024-01-19,72245.25,72245.25,70601.11445783133,71084.68373493975,23363427
2024-01-22,72632.09375,73502.51830892144,72535.37991011984,73405.80446904128,19673375
2024-01-23,72728.8125,73309.09557845745,71858.38788231382,73212.38173204787,14786224
2024-01-24,71568.234375,72728.80033783783,71084.66522381757,72728.80033783783,12860661
2024-01-25,71664.953125,72341.94998313091,71278.09777749663,71761.66696187585,11737747
2024-01-26,70987.953125,72051.80528354904,70891.23929240463,71278.0946227861,11160062
2024-01-29,71955.09375,72728.80443548388,71084.66922883065,71374.8107358871,13976521
2024-01-30,71858.3828125,72825.52120836137,71278.09977498317,72535.37968960297,12244418
2024-01-31,70310.96875,71568.24879642366,70117.54105055021,70987.96569807427,15703560
2024-02-01,71181.390625,71761.67370074728,70504.39370329485,70601.10754925272,19881033
2024-02-02,72728.8125,72728.8125,71278.10480385637,71568.2463430851,14955881
2024-02-05,71858.3828125,72341.95201043069,71084.6720958109,71761.66897291386,19026021
2024-02-06,71955.09375,72245.23525705645,70891.24155745968,71858.37991431452,14559254
2024-02-07,72535.375,73018.94416666667,71858.37816666666,72148.51966666666,16566445
